,title,link,play_times,collection_times,relay_times,comments,creator,create_date
222,动漫补番系列｜每首皆可触动心灵,"https://music.163.com/playlist?id=2571114602
",457223,19658,355,144,终将成为猫奴,2018-12-24
165,✯Reol『れをる』全曲目收录✯,"https://music.163.com/playlist?id=478566277
",376447,19476,156,775,_-REOL-_,2016-10-04
13,City pop | 脱丧俱乐部里的复古蜜色,"https://music.163.com/playlist?id=2180830258
",464741,19148,304,125,摇智,2018-04-11
290,『~米津玄师~』走进八爷的内心世界,"https://music.163.com/playlist?id=2087611743
",581072,19135,190,125,祁茶-,2018-02-04
212,『日系民谣』恋恋风歌，良品唱腔,"https://music.163.com/playlist?id=2425102895
",596264,19051,218,102,佳期不负,2018-09-18
198,我是大哥大[日剧原声带],"https://music.163.com/playlist?id=2458406799
",1395701,18952,168,375,浪怀孕的撸时夏,2018-10-07
59,「银魂」OP、ED全收录正序（含真人电影版）,"https://music.163.com/playlist?id=634533623
",572399,18622,80,221,VGK7,2017-03-19
157,『日系』治愈 温柔 少年音,"https://music.163.com/playlist?id=833673516
",443014,18566,157,240,Ditto-Joker,2017-07-31
181,『适合做手书的曲子』★ 前方高虐,"https://music.163.com/playlist?id=585761705
",245975,18373,85,256,失格斜陽,2017-01-29
221,BGM之魂 | 走进那些日本配乐大师,"https://music.163.com/playlist?id=2471419966
",463472,18358,202,191,云音乐VIP,2018-10-16
18,无限“温柔”的日系动漫歌单,"https://music.163.com/playlist?id=875732045
",627020,18307,174,299,Monster卩情谊,2017-08-11
248,日语｜想找一个天真活泼可爱的女朋友,"https://music.163.com/playlist?id=2331078197
",595462,18055,159,497,傻fufu的MK,2018-07-25
287,VOCALOID · 高速歌唱与乐器的狂欢,"https://music.163.com/playlist?id=2472206336
",469978,18000,90,84,xept,2018-10-17
66,"【秘封拾音】每支原曲,一曲纯音,一首人声","https://music.163.com/playlist?id=2437055506
",563319,17704,127,111,仰望晨曦的夜空,2018-09-26
62,日系｜好久不见，如今你是谁的孤独患者？,"https://music.163.com/playlist?id=2075224527
",533906,17594,160,159,Losmaville,2018-01-26
220,遥远之空——为美丽的世界献上永远的祝福,"https://music.163.com/playlist?id=2552664389
",470831,17463,92,109,阿良良木先生,2018-12-11
126,「B站bilibili」哔哩哔哩2018拜年祭曲目,"https://music.163.com/playlist?id=2097238383
",743801,17351,70,695,玄扇,2018-02-11
186,正太向的正太音的病娇正太控(或se气(日向）,"https://music.163.com/playlist?id=736042154
",204349,17231,76,237,鼬眼鸣,2017-05-22
224,「日系柔情」栽进你盛满繁星的眼眸里,"https://music.163.com/playlist?id=2213800080
",388830,17226,143,86,跨过凌晨,2018-05-05
250,日系摇滚『透明人间° 二番街的喑哑灵魂』,"https://music.163.com/playlist?id=2482052529
",550009,17204,157,186,瀰生,2018-10-23
119,神奇宝贝/宠物小精灵OP正确顺序体验版,"https://music.163.com/playlist?id=898328279
",659016,17082,111,246,谌苍,2017-08-29
291,『十年一梦』2009年全年动画音乐回顾,"https://music.163.com/playlist?id=2567068841
",447013,16992,88,292,佐仓小小千代,2018-12-21
58,「日系情绪」从心碎到愈合，从悲伤到喜乐,"https://music.163.com/playlist?id=2476765406
",550001,16970,149,66,一莆花田,2018-10-19
96,『日系男声』触摸喉结，享受这迷人的声音吧,"https://music.163.com/playlist?id=2014904282
",472019,16919,121,253,元气兔在被窝里,2017-12-14
167,◤游戏高燃日系电音◢…抖腿停不下来,"https://music.163.com/playlist?id=867072726
",352765,16792,81,61,-雷裂残阳-,2017-08-04
185,〖必经之路系列〗手书常用曲,"https://music.163.com/playlist?id=892973562
",229658,16785,66,279,机器人差别对待禁止武装协会,2017-08-25
211,温柔的心之旋律，化为我心灵的慰藉,"https://music.163.com/playlist?id=2277307819
",598948,16608,114,130,初音_Miku酱,2018-06-19
154,东 京 口食 禾中【喰种 食尸鬼】,"https://music.163.com/playlist?id=2170081433
",462502,16607,213,48,不木丂_,2018-04-04
83,日系π 轻柔的梦 硬糖般的心悄然化去外壳,"https://music.163.com/playlist?id=2377215344
",483956,16301,136,86,YoakeNatsu,2018-08-20
225,『柔和的旋律』·♬ 你的温柔让我心醉,"https://music.163.com/playlist?id=954607270
",364953,16196,141,57,alongClap,2017-10-11
128,【日系男音】耳畔若即若离呼啸而去的月光,"https://music.163.com/playlist?id=2295551601
",472536,16188,128,91,群青型梦游森屿,2018-07-01
164,混沌武士/爆炸头武士 Jazz Hiphop OST,"https://music.163.com/playlist?id=722172200
",377238,15976,217,118,摇滚死兔子本不应该是一个顽主,2017-05-08
80,抹茶味日系纯音,"https://music.163.com/playlist?id=2332738150
",631687,15952,170,103,傻戳不傻,2018-07-26
254,宅男宅女大大扫除の元气之歌,"https://music.163.com/playlist?id=2502563443
",403501,15843,128,410,云音乐VIP,2018-11-06
109,【前奏控》叮叮咚咚の日系小调~,"https://music.163.com/playlist?id=2206554259
",543214,15833,107,160,还你一个夏天,2018-04-30
137,电音女毒——划破夜空直击灵魂的自由之声,"https://music.163.com/playlist?id=2583280757
",503246,15780,76,78,阿良良木先生,2019-01-01
134,火影忍者OP顺序合集,"https://music.163.com/playlist?id=942360548
",482637,15519,93,125,比疾,2017-10-02
217,紫罗兰永恒花园（原声集）,"https://music.163.com/playlist?id=651545235
",486665,15490,131,159,中二的歪鲤,2017-04-04
267,「行走世间，全是妖怪」,"https://music.163.com/playlist?id=2194069699
",409960,15393,127,224,绊爱酱,2018-04-21
187,〖萌单②〗教你如何凌静的去听幼女唱歌~,"https://music.163.com/playlist?id=597840283
",159405,15365,59,99,双葉-杏酱,2017-02-11
166,kobasolo 春茶 harutya,"https://music.163.com/playlist?id=2194659331
",373160,15339,135,136,-侑害君,2018-04-21
11,假面骑士主题曲(一号到zi-o),"https://music.163.com/playlist?id=2337511111
",525208,15218,45,74,超能铠武,2018-07-29
110,可爱向日语||轻柔软糯，清香甘甜,"https://music.163.com/playlist?id=2359980089
",512419,15212,135,202,鹿北浠,2018-08-12
281,「月樱低咏」刀剑之舞 咏暗殇调,"https://music.163.com/playlist?id=2111160789
",320517,15162,158,84,-沏茶赏花-,2018-02-21
7,最后的平成：日本说唱新生代演武,"https://music.163.com/playlist?id=2510463922
",506434,15122,249,286,RUNRAKIM,2018-11-12
162,【日系】精选良曲 动画原曲,"https://music.163.com/playlist?id=772534223
",433190,15095,114,208,重明丿,2017-06-22
129,2018年10月新番（更新ing）,"https://music.163.com/playlist?id=2427392434
",586348,15094,79,244,哔哩哔哩音乐娘,2018-09-19
251,「日系抒情」将最柔软的心 献给等待的你,"https://music.163.com/playlist?id=2361198055
",523650,14882,129,405,-沏茶赏花-,2018-08-13
284,平成假面骑士（op和处刑曲）,"https://music.163.com/playlist?id=2144215693
",596902,14850,54,103,水伊純雪,2018-03-17
283,【女声控】夏の美麗，幻化为人鱼般的声弦♪,"https://music.163.com/playlist?id=2154840179
",267467,14822,138,132,绊爱酱,2018-03-24
228,日系抒情・过耳不忘的惊艳女声,"https://music.163.com/playlist?id=2437540105
",319845,14760,161,653,云音乐歌单之友,2018-09-26
268,日语 | 与孤独共坠万丈深渊,"https://music.163.com/playlist?id=2387928091
",402526,14652,118,79,O400,2018-08-26
170,百位日本女歌手，一人一首英文歌,"https://music.163.com/playlist?id=2435708831
",338669,14172,75,218,浮春梦雪,2018-09-25
168,【紫罗兰永恒花园】CM曲&OP&ED&OST收集,"https://music.163.com/playlist?id=2009396966
",339367,13964,105,155,摇曳百合吧,2017-12-10
176,『治愈催泪』动漫ACG 来生愿破次元壁,"https://music.163.com/playlist?id=2050774288
",283612,13699,87,184,Artoria云,2018-01-09
256,日系私藏｜听前奏就被表白成功,"https://music.163.com/playlist?id=2560303885
",318161,13664,183,89,终将成为猫奴,2018-12-16
179,<<崩二～崩三>>歌单,"https://music.163.com/playlist?id=891919542
",263414,13588,49,104,崩坏3官方认证账号,2017-08-24
163,高达最受欢迎40曲，同步NHK2018投票结果,"https://music.163.com/playlist?id=2229888386
",411275,13439,86,265,叫我囧摸扮,2018-05-17
264,哔哩哔哩|血洗B站的神曲集锦√,"https://music.163.com/playlist?id=2089001450
",646836,13282,66,239,瀚海兰台,2018-02-05
301,拿不拿-n-buna,"https://music.163.com/playlist?id=823955752
",269726,13201,115,92,莉犬,2017-07-25
255,[日系女生]一秒天堂人，声声入人心,"https://music.163.com/playlist?id=2182354902
",401380,13165,89,55,星野樱木,2018-04-12
158,动漫中最适合做起床铃声的歌,"https://music.163.com/playlist?id=2374950835
",441422,13130,58,180,Flavors_OY,2018-08-20
226,霓虹国式清新旋律|天空画游云，暖阳逗清风,"https://music.163.com/playlist?id=2468505578
",351689,13030,129,71,鹿北浠,2018-10-14
155,√石开木金Iuohg oykoT,"https://music.163.com/playlist?id=2005125754
",460860,12991,133,10,by月半冫欠,2017-12-07
160,【追忆青春】50部经典日本动漫OP&ED,"https://music.163.com/playlist?id=2624500286
",435463,12906,110,182,pure日月,2019-01-14
230,BANANA FISH 战栗杀机OP/ED原声,"https://music.163.com/playlist?id=2322964306
",299811,12749,168,392,幽蓝林境,2018-07-19
188,可爱萝莉萌音，每首都能让你萌出血『慎入』,"https://music.163.com/playlist?id=2062094977
",149858,12716,111,59,锤锤锤你胸口,2018-01-17
269,「日系电子」过耳不忘！极致少年X流行电子,"https://music.163.com/playlist?id=2455000648
",358502,12715,93,340,-沏茶赏花-,2018-10-05
161,日系民谣 ‖ 那是岁月轻抚过的温柔,"https://music.163.com/playlist?id=2530668718
",433988,12701,151,47,Kindly丶,2018-11-26
115,日语精选：日本KTV中的高人气优质女声,"https://music.163.com/playlist?id=2150668313
",545469,12515,119,136,姐川,2018-03-21
215,【日系】这些歌曲高潮一定能震撼你的灵魂,"https://music.163.com/playlist?id=2212215510
",499034,12501,78,150,阿飘pyton,2018-05-04
266,日系丨透明少女与漫长白昼里的失语症,"https://music.163.com/playlist?id=2332435213
",441091,12248,129,82,瀰生,2018-07-26
178,崩坏3BGM&推荐肝游戏歌单,"https://music.163.com/playlist?id=992336488
",269340,12216,61,250,澟丶,2017-11-11
299,『H』我怕了网易爸爸,"https://music.163.com/playlist?id=826783636
",134738,12135,72,158,永远爱着库利亚小天使的我,2017-07-27
184,『kawaii 冬天=电音』⚡️ 迎接冬日暖阳,"https://music.163.com/playlist?id=2369772343
",234409,12033,100,69,蛙仔大魔王,2018-08-17
174,日系快乐硬核 | 又硬又萌的魔性旋律,"https://music.163.com/playlist?id=2527244248
",303877,11968,74,111,银月火花,2018-11-24
282,日语 | 隐匿在深海中的怪物,"https://music.163.com/playlist?id=2519071240
",297316,11824,75,174,O400,2018-11-18
180,「日系女声」慎听易上瘾,"https://music.163.com/playlist?id=587982008
",263053,11789,80,57,NEU鸢北,2017-02-01
253,沉溺于淡淡幻想中，不愿醒来的梦の续章,"https://music.163.com/playlist?id=2264616312
",411397,11775,97,115,初音_Miku酱,2018-06-10
177,宝石之国原声集,"https://music.163.com/playlist?id=957473739
",275497,11732,110,238,纵歌行-azi,2017-10-14
252,“引几盏灯 与你相伴至天明”,"https://music.163.com/playlist?id=2340254873
",496169,11671,158,139,O400,2018-07-30
272,心灵之音，拯救迷失的你,"https://music.163.com/playlist?id=2199404945
",336141,11430,80,88,初音_Miku酱,2018-04-24
182,『日系』多想让你知道，我喜欢你,"https://music.163.com/playlist?id=2044506395
",236794,11227,81,52,彧誉yuyu,2018-01-05
169,◎若风过境|与你共享同一副耳机,"https://music.163.com/playlist?id=2333213931
",338753,11214,88,87,_雨無_,2018-07-26
229,【日系抒情】早晚终相会 忧思情愈深,"https://music.163.com/playlist?id=2584113381
",311227,11148,68,266,凛口Lynko,2019-01-02
175,怜花魁美，一丈霜发凭栏在青楼,"https://music.163.com/playlist?id=2384950986
",302839,11080,91,111,初雪的烦恼,2018-08-25
233,「日系男音」冬日暖袭 被你的温柔所包围,"https://music.163.com/playlist?id=2528534821
",275934,11080,62,131,Flavors_OY,2018-11-25
183,心做し男声哭腔（欢迎补充）,"https://music.163.com/playlist?id=2024661331
",235790,11010,107,242,卒业数次,2017-12-22
223,"【东方旧作】每支原曲,一曲纯音,一首人声","https://music.163.com/playlist?id=2403082773
",451179,10894,103,64,仰望晨曦的夜空,2018-09-04
173,【FGO】Fate/Grand Order 1~2.0相关BGM合集,"https://music.163.com/playlist?id=731587579
",310307,10482,31,182,梅尔特莉莉丝,2017-05-17
286,向流星许下的未来，绿光将照亮你心中那扇窗,"https://music.163.com/playlist?id=2351239052
",207125,10321,59,396,初音_Miku酱,2018-08-06
159,青春猪头少年不会梦到兔女郎学姐op ed原声,"https://music.163.com/playlist?id=2433972512
",437974,10227,51,112,幽蓝林境,2018-09-24
300,「想拿去做雷安手书的歌」＊评论评论评论！,"https://music.163.com/playlist?id=719947617
",119917,10090,38,433,挨揍_Auditore,2017-05-06
231,唯美日系丨枫叶荻花红霞瑟 楓飘红霞光,"https://music.163.com/playlist?id=1983195962
",286904,10072,74,73,桐崎茜Koko,2017-11-19
314,动漫中的“日剧跑”，同样牵动人心,"https://music.163.com/playlist?id=2336082594
",331487,9945,74,255,嘉神川-诺艾尔,2018-07-28
341,「日系」书写名为崩伤的美好,"https://music.163.com/playlist?id=989786093
",233636,9815,73,58,染川瞳,2017-11-08
899,ACG狂欢：日本音乐厂牌U/M/A/A歌曲精选,"https://music.163.com/playlist?id=2398432466
",235908,9765,126,437,网易云音乐,2018-09-01
913,不绝于耳的初音之声，激荡你渴望电音的心,"https://music.163.com/playlist?id=2314418652
",237197,9711,75,52,初音_Miku酱,2018-07-14
311,「日系独立」一人在日和广场上晃荡,"https://music.163.com/playlist?id=2349469723
",358061,9667,136,61,师大公园地上司令,2018-08-05
768,日系电音丨随着歌声 让昏睡的神经清醒起来,"https://music.163.com/playlist?id=2095731702
",340333,9500,86,108,桐崎茜Koko,2018-02-10
325,『•全25曲+drama•』Division Rap Battle,"https://music.163.com/playlist?id=2111943630
",266291,9427,273,88,有栖弓弦_同好互fo,2018-02-22
348,2018年动漫剧场版（电影版）音乐合集,"https://music.163.com/playlist?id=2452402797
",219389,9412,104,140,糕坂穗奶果,2018-10-04
