,title,link,play_times,creator
1174,一个天秤座的听歌列表.,https://music.163.com/playlist?id=2076817880,3660000,乌鸦koli
1285,『 2018优质新歌电音推送 』,https://music.163.com/playlist?id=2000367772,3570000,Kaibottcher
113,"""世间上最璨然的烟火, 即是你的灿然一笑""",https://music.163.com/playlist?id=2508501707,3570000,X丶Greyen
97,DC电影《海王》OST/BGM,https://music.163.com/playlist?id=2327589181,3520000,MRDavidChen
1175,奶一口就迷上的欧美优质男嗓,https://music.163.com/playlist?id=2372536640,3500000,懒狗欧美音乐
1286,在我的BGM里化妆 没人能美过我,https://music.163.com/playlist?id=953939511,3440000,跨过凌晨
126,电音8D环绕 带上耳机世界都是你的,https://music.163.com/playlist?id=806065005,3380000,哒哒哒小铭儿
1176,第61届格莱美奖提名名单,https://music.163.com/playlist?id=2547376144,3300000,献给莉莉的玫瑰
29,乡村选集 · 源于生活的洒脱与浪漫,https://music.163.com/playlist?id=2353567368,3130000,xept
188,那些曾经在Billboard上爆红的HipHop———,https://music.163.com/playlist?id=2122279649,3110000,火属
1178,Taylor Swift霉霉免费歌曲,https://music.163.com/playlist?id=2359617932,3080000,-潺湲
1287,那些为电音画龙点睛的惊艳女Vocals,https://music.163.com/playlist?id=2081768956,3070000,薛定谔的缝纫机
43,社会人摇头必备嗨曲（极嗨）,https://music.163.com/playlist?id=2467197621,3070000,宸极-Cody
1177,「欧美电子」电子与人声的完美碰撞♚,https://music.163.com/playlist?id=2135457343,3070000,歇会儿别闹了
143,又到了起床靠爆发力的日子了,https://music.163.com/playlist?id=2522866436,3040000,柠檬木有枝
103,滚石评选21世纪最伟大100单曲,https://music.163.com/playlist?id=2301267346,3030000,UkubirdEDM
118,DJ Snake Radio,https://music.163.com/playlist?id=2311539185,2960000,DJSnake
14,「清新歌谣」赠于你欢快旅行,https://music.163.com/playlist?id=2199769306,2960000,天赋异禀美少女
192,Wow！这些歌简直好听到闪闪发光,https://music.163.com/playlist?id=2313248419,2910000,鹿白川
161,夜深了｜听电影讲枕边故事,https://music.163.com/playlist?id=2203927235,2890000,下一颗巧克力
10,『Shiloh Dynasty』 採 樣 集,https://music.163.com/playlist?id=976276898,2880000,2ev2e
130,『俏皮实验室』响指&口哨的清新节奏,https://music.163.com/playlist?id=2318904955,2870000,云音乐VIP
35,银河系搭便车音乐指南,https://music.163.com/playlist?id=2091221302,2820000,银河系花
1288,北欧民谣 | 赐你一剂澄净安逸的心灵圣药,https://music.163.com/playlist?id=1997189512,2820000,Xthousis666
13,|车载嗨曲 开车靠的是感觉，不是眼睛|,https://music.163.com/playlist?id=2128560894,2810000,Radio-Music
8,Jessica Vu 美妆背景音乐 BGM,https://music.163.com/playlist?id=988240556,2800000,mar90
162,《太空乐鉴赏与简史》,https://music.163.com/playlist?id=2453710966,2690000,宇宙摇滚俱乐部
1179,还在暗恋？一封歌单情书拿去表白,https://music.163.com/playlist?id=2476416053,2670000,DJ顾念晨
122,『电音女毒』女声响起/即刻沦陷,https://music.163.com/playlist?id=2314766620,2670000,HUMAN00
163,一定是特别的缘分 你就变成我的前任,https://music.163.com/playlist?id=2331586391,2640000,云音乐VIP
36,康纳麦格雷戈专属BGM,https://music.163.com/playlist?id=2090838082,2600000,Dj-MraDeL
108,『欧美』让歌声带着星光，温暖你的梦,https://music.163.com/playlist?id=2405831246,2580000,钟泽希
99,【拯救歌荒】100首欧美新锐歌曲,https://music.163.com/playlist?id=2466320666,2550000,pure日月
1180,年少有为·年轻血液 | 别人的十几岁(欧美篇),https://music.163.com/playlist?id=2533033217,2520000,外太空来的Mercy
1181,打游戏必备【战歌&节奏电音&重金属】,https://music.163.com/playlist?id=869010577,2480000,蛋蛋ptap
80,Rap&EDM Trap丨说唱与狂野低音的碰撞,https://music.163.com/playlist?id=2262084469,2440000,避难所Shelter
1182,Taylor Swift | 霉霉免费套餐,https://music.163.com/playlist?id=2007980572,2430000,taylor1016
58,睡在一片花海里做个美梦吧,https://music.163.com/playlist?id=2349389734,2420000,螚安Vivienne
1183,泰勒斯威夫特那些不要钱的歌,https://music.163.com/playlist?id=2053195842,2400000,Lenka_Kripac
74,99°C耳朵怀孕系列,https://music.163.com/playlist?id=2140976267,2350000,三月咖喱
164,9102年抖腿指南，今年什么水平？,https://music.163.com/playlist?id=2622967273,2330000,NickyRomero
9,「烟嗓女王」暴风雨中凛然绽放的绯色之花,https://music.163.com/playlist?id=2544904805,2290000,Amber丶Queen
1184,"""我永远屈服于温柔，你是温柔本身""",https://music.163.com/playlist?id=2445945181,2220000,杉茶先生
119,Walkers Join,https://music.163.com/playlist?id=2448302036,2170000,AlanWalker
149,灵性口哨·高频律感 | 将质感上升置顶,https://music.163.com/playlist?id=956988504,2170000,跨过凌晨
150,Mello Gaming,https://music.163.com/playlist?id=2313779410,2160000,MarshmelloMusic
44,【Hip-Hop】西海岸精选,https://music.163.com/playlist?id=2186166423,2130000,大意黄多多
1185,嘘，听他们为你唱首情歌,https://music.163.com/playlist?id=2172125110,2100000,傻猹不傻
114,Source水滴厂牌·最灵动的节奏,https://music.163.com/playlist?id=2276597341,2040000,Eternal_Paradise
64,「欧美流行」那些你想找又找不到的歌曲,https://music.163.com/playlist?id=889960888,1950000,金姐姐的粉丝007
132,「伪治愈系Rap」你价值连城伤口的良药,https://music.163.com/playlist?id=2341864198,1940000,Blueoutlook
59,酷女孩 | 俏皮优雅的行乐素日,https://music.163.com/playlist?id=2373987470,1940000,东野圭吾的烦恼
98,「惊艳电子·旋律控」一听倾心 爱不释耳❶,https://music.163.com/playlist?id=2436059762,1920000,美学流亡
50,“长大应该是变得温柔，对全世界都温柔”,https://music.163.com/playlist?id=2179751046,1880000,小狸奴__
78,抖腿合集 | 清新人声+电音的完美融合,https://music.163.com/playlist?id=2246938067,1830000,会娇喘的皮皮皮皮皮皮猪
177,2018全球百大DJ排行榜,https://music.163.com/playlist?id=2478923551,1820000,welphenEDM
1186,美国金宝贝早教儿歌,https://music.163.com/playlist?id=884899964,1820000,谁把蜡笔小D注册了
47,【治愈英语歌】温柔的灵魂终将相遇,https://music.163.com/playlist?id=2114154989,1800000,群青型梦游森屿
144,最好的友情，是各自忙碌却又互相牵挂,https://music.163.com/playlist?id=2608428625,1790000,凄竹
81,「甜嗓控」当糖果女声邂逅清新电音,https://music.163.com/playlist?id=2189506809,1730000,NeilShine_
178,气场两米八 | 内心要骚 步子要稳 眼神要狠,https://music.163.com/playlist?id=2379698024,1720000,云音乐VIP
79,『作业党福利』‖慎入！会上瘾❤,https://music.163.com/playlist?id=2070022903,1720000,Romeo他爸的迷弟
89,冷门佳曲：宛如梦境般的迷幻嗓音,https://music.163.com/playlist?id=2499249150,1680000,mayuko然
165,自律使人美丽 运动是最好的化妆品,https://music.163.com/playlist?id=2477437664,1670000,mayuko然
93,『冷门』Have a nice 「Holiday」假日必备,https://music.163.com/playlist?id=2616238898,1660000,循光
147,抖音精选热播bgm（持续更新中）,https://music.163.com/playlist?id=998122759,1650000,lucygreen
16,心脏复苏室 · 极致鼓点带来的太空之旅,https://music.163.com/playlist?id=2497165506,1630000,shakemyhead
1289,【节奏控】一听就上瘾的惊艳女声④,https://music.163.com/playlist?id=2344354591,1630000,还你一个夏天
1290,蓝莓味气泡水°,https://music.163.com/playlist?id=2342277912,1600000,-TRTan-
129,「Hip-hop」盘点那些酷酷的欧美女rapper,https://music.163.com/playlist?id=2442514284,1560000,Listen_alone
125,抖音精选热播BGM,https://music.163.com/playlist?id=2478846617,1530000,Fulay
179,Future Beats ◐ 糟糕，是心肌梗塞的感觉！,https://music.163.com/playlist?id=2577388187,1510000,NickyRomero
87,⚡Moombahton 丨电流律动的异域风,https://music.163.com/playlist?id=2345781577,1500000,Jisoo7
166,史诗级神曲 震撼就在下一秒 致魔兽世界,https://music.163.com/playlist?id=2272847590,1480000,Dum-娅馨
27,睡前造梦 · 欧美致幻男嗓,https://music.163.com/playlist?id=2537027876,1460000,犽狸
195,无尽漫威世界，永恒的斯坦李Stan Lee,https://music.163.com/playlist?id=2511465227,1430000,Arriey
19,欧美 | 前奏跪 × 开口脆,https://music.163.com/playlist?id=814812699,1400000,迟到情书
1187,别丧了，送你一首快乐的小甜歌^O^,https://music.163.com/playlist?id=2071369403,1380000,安七度_bts
115,「炸裂」你听过3D环绕音乐吗？特别酷！,https://music.163.com/playlist?id=2120151283,1380000,晩生
22,【耳熟能详的英文歌】,https://music.163.com/playlist?id=2136581166,1360000,关西柴田
1188,听我爱的音乐，做我想做的自己,https://music.163.com/playlist?id=2530671305,1360000,云村供销社
1291,2018全美音乐奖提名名单（AMAs）,https://music.163.com/playlist?id=2406347748,1350000,DoubleRainbow_
134,打游戏必备｜Spinnin' Records高能电音战曲,https://music.163.com/playlist?id=2378065090,1350000,SpinninRecordsOfficial
1189,爵士&Pop丨 Bad Girl 丨 脏女孩,https://music.163.com/playlist?id=958129224,1340000,特务李女士
152,DJ丁磊打碟首秀完整再现,https://music.163.com/playlist?id=2526036005,1330000,网易电音品牌放刺FEVER
198,所有人都想要的罗PD的曲库歌单列表（持更）,https://music.163.com/playlist?id=2059266073,1320000,Yoli_小璐
85,DC《海王Aquaman》电影↓BGM,https://music.163.com/playlist?id=2521649305,1290000,Ferhat吸血鬼
167,午夜降临 | 如何在房间优雅的跳舞,https://music.163.com/playlist?id=2512092824,1290000,东野圭吾的烦恼
168,另类R&B|无法抗拒的别样性感,https://music.163.com/playlist?id=2386773878,1250000,IntropinRevivan
1190,不孤独的圣诞音乐趴 邀你收获多份温馨❤️,https://music.163.com/playlist?id=2559983823,1250000,DIY组合
1292,私人珍藏●上传通过审核,https://music.163.com/playlist?id=2374856459,1240000,Radio-Music
52,高逼格婚礼快剪音乐,https://music.163.com/playlist?id=826717436,1230000,曼妙时光里
61,“ 近朱者赤 近你者甜❤ ”,https://music.163.com/playlist?id=2411342680,1230000,手摇织梦机
65,“迷人电音 反派角色”,https://music.163.com/playlist?id=2373300150,1230000,和久井映见
117,可 听 可 不 听,https://music.163.com/playlist?id=2269787428,1200000,Riley_yzh
1191,2018年入耳倾心的冷门优质女嗓,https://music.163.com/playlist?id=2519153299,1190000,一个酷爱听歌的骚年
124,【 节拍器 | 一哼一跃 为自己找个好心情 〗,https://music.163.com/playlist?id=2463804261,1190000,杰尼大叔
202,评论过十万的英文歌(已排序),https://music.163.com/playlist?id=2250377640,1190000,柒城纯白
1192,『油管』 十位才华横溢的女声翻唱,https://music.163.com/playlist?id=981008207,1170000,钟小离y
1193,自由朋克 I 孩子般的无畏和真诚,https://music.163.com/playlist?id=2408549654,1170000,山河暮归
1293,钢琴弹唱|| 纵享丝滑般男嗓 入耳即化,https://music.163.com/playlist?id=2551764474,1160000,冰糖炖雪梨Er
205,网易云音乐10万评论曲子合集(按首字母排序),https://music.163.com/playlist?id=750445279,1150000,TyrionImpLannister
203,吃鸡神曲（绝地求生专用BGM）,https://music.163.com/playlist?id=2274803562,1150000,永远的24号180221
169,R&B · 低空巡航 深夜一颗无处安放的心,https://music.163.com/playlist?id=2515560408,1100000,shakemyhead
95,综艺《这！就是街舞》BGM合辑,https://music.163.com/playlist?id=2061447491,1100000,yulkyulk_
96,听觉盛宴『欧美电音欧美歌曲精选』,https://music.163.com/playlist?id=1979634521,1090000,ZENG_GU
42,内容引起极度舒适,https://music.163.com/playlist?id=2414960807,1090000,食人奶奶-
1194,空灵男嗓：你是我隐匿于星辰的秘密,https://music.163.com/playlist?id=2350739177,1090000,烈雨
