link,name,singer,comments_num
https://music.163.com/song?id=28773613,Say Goodnight,Rico Davis,14421
https://music.163.com/song?id=417595824,Bomb A Freak,Michael R,14414
https://music.163.com/song?id=569214321,Girls Like You,Maroon 5 / Cardi B,14383
https://music.163.com/song?id=16805463,"Little Lou, Ugly Jack, Prophet John",Belle & Sebastian,14376
https://music.163.com/song?id=37240629,Hymn For The Weekend,Coldplay / Avicii,14368
https://music.163.com/song?id=33922813,Adventures,Alex Skrindo,14352
https://music.163.com/song?id=436698448,Autumn Breeze (Feat. Rachel Lim),JIDA / Rachel Lim,14327
https://music.163.com/song?id=550169414,Hard 2 Face Reality,Poo Bear / Justin Bieber / Jay Electronica,14321
https://music.163.com/song?id=33891204,Break Again(Original Mix),Jack Howes,14313
https://music.163.com/song?id=406730499,Hide and Seek,Lizz Robinett,14299
https://music.163.com/song?id=32046367,Won't Back Down (Boehm Remix),Boehm / Benjamin Francis Leftwich,14289
https://music.163.com/song?id=26473416,Knockin' On Heaven's Door,Bob Dylan,14281
https://music.163.com/song?id=31997691,The Next Episode (San Holo Remix),San Holo / Snoop Dogg / Dr. Dre,14261
https://music.163.com/song?id=405599687,Crush,Yuna / Usher,14230
https://music.163.com/song?id=28702080,Prayer In C (Robin Schulz Remix),Lilly Wood & The Prick / Robin Schulz,14218
https://music.163.com/song?id=509781585,Help Me Out,Maroon 5 / Julia Michaels,14213
https://music.163.com/song?id=21563195,S&M,Rihanna,14199
https://music.163.com/song?id=485918020,Edge Of The Night,Sheppard,14190
https://music.163.com/song?id=409646391,Mystic Tides,FEWZ,14187
https://music.163.com/song?id=526099041,Purple Dragons (VIP),Virtual Riot,14186
https://music.163.com/song?id=493705537,Thunder,Imagine Dragons,14184
https://music.163.com/song?id=28475345,Only Love (Acoustic),PVRIS,14177
https://music.163.com/song?id=28381440,Weather,Novo Amor,14175
https://music.163.com/song?id=21253958,One More Night - LVLF Remix,Maroon 5,14175
https://music.163.com/song?id=519820694,winter.,VESK GREEN,14172
https://music.163.com/song?id=2532290,To Vals Tou Gamou (Remastered),Eleni Karaindrou,14169
https://music.163.com/song?id=2117962,Complicated,Avril Lavigne,14167
https://music.163.com/song?id=401382115,Arvb,Smare,14162
https://music.163.com/song?id=21223795,Let You Win,Macy Gray,14159
https://music.163.com/song?id=1376614,Nothing's Gonna Change My Love for You,George Benson,14140
https://music.163.com/song?id=514055266,Forever,Martin Garrix / Matisse & Sadko,14121
https://music.163.com/song?id=27570005,Pirates Of The Caribbean (He's A Pirate),Maksim Mrvica,14096
https://music.163.com/song?id=29737986,Friends,Steerner,14093
https://music.163.com/song?id=424474635,BOOMBAYAH,BLACKPINK,14086
https://music.163.com/song?id=31446913,Fly,Avril Lavigne,14073
https://music.163.com/song?id=28152636,Cold,Nao'ymt,14071
https://music.163.com/song?id=27556136,Lift Me Up,Mree,14068
https://music.163.com/song?id=35955864,Nekozilla,Different Heaven,13997
https://music.163.com/song?id=2001472,Safe And Sound,Taylor Swift / The Civil Wars,13979
https://music.163.com/song?id=30590268,Break Me Up,Erika Selin,13935
https://music.163.com/song?id=460039019,Cold,Maroon 5 / Future,13930
https://music.163.com/song?id=31654453,Never Back Down,Two Steps From Hell,13926
https://music.163.com/song?id=479717618,Hoaprox - Ngẫu Hứng (MonBet Remix),MonBet,13915
https://music.163.com/song?id=29307037,What Are You Waiting For?,Nickelback,13908
https://music.163.com/song?id=2117009,Set Fire to the Rain,Adele,13892
https://music.163.com/song?id=523030374,Believer,Imagine Dragons,13863
https://music.163.com/song?id=32431099,잊지마 (It G Ma),Keith Ape / Okasian / KOHH / JayAllDay / LOOTA,13848
https://music.163.com/song?id=518015108,Everybody Knows,Sigrid,13843
https://music.163.com/song?id=421423251,Light It Up,Calvo / Noubya,13815
https://music.163.com/song?id=37095772,Silver City,Myrne / Linying,13803
https://music.163.com/song?id=4237923,Wish You Were Here,Pink Floyd,13796
https://music.163.com/song?id=509654281,Mi Gente,J Balvin / Willy William / Beyoncé,13736
https://music.163.com/song?id=2639557,Cosi Tanto,Federica Camba,13725
https://music.163.com/song?id=477821065,This Must Be Hell (prod. Tau),VELVETEARS,13710
https://music.163.com/song?id=467953113,Wild One,Lucky Rose / Tep No,13672
https://music.163.com/song?id=26233523,Wherever You Go,A Rocket to the Moon,13666
https://music.163.com/song?id=28143956,Alive (Original Mix),Krewella,13648
https://music.163.com/song?id=454435553,pure imagination (dotan negrin x prismatic mantis flip),future james / dotan negrin / prismatic mantis,13645
https://music.163.com/song?id=27134349,La Valse D'amelie,Yann Tiersen,13637
https://music.163.com/song?id=480648759,13,LANY,13619
https://music.163.com/song?id=27553170,Tremble (Original Mix),Vicetone,13591
https://music.163.com/song?id=1921734,Reality,Richard Sanderson,13578
https://music.163.com/song?id=17863892,Hero,Family of the Year,13576
https://music.163.com/song?id=31997968,Hotbox,Raye,13557
https://music.163.com/song?id=26545233,Yesterday,Anastasia Kushnir,13554
https://music.163.com/song?id=474574984,Le Câlin,Serhat Durmus,13546
https://music.163.com/song?id=31460355,For the Damaged Coda,Blonde Redhead,13538
https://music.163.com/song?id=454698352,Mercy,Bishop Briggs,13503
https://music.163.com/song?id=28747428,Lost Stars,Keira Knightley,13481
https://music.163.com/song?id=422132112,King,Zayde Wølf,13441
https://music.163.com/song?id=34040349,Little Talks,Julia Sheer / Jon D.,13433
https://music.163.com/song?id=28828040,Paralyse,Polarheart,13424
https://music.163.com/song?id=19292800,Red,Taylor Swift,13413
https://music.163.com/song?id=3819561,I Will Always Love You,Whitney Houston,13391
https://music.163.com/song?id=518904105,Imagine (XXXTentacion 17 Type Beat),Cameron Ulrich,13359
https://music.163.com/song?id=16439857,When You Say Nothing At All,Alison Krauss,13350
https://music.163.com/song?id=26679470,"Flightless Bird, American Mouth",Iron & Wine,13337
https://music.163.com/song?id=28953033,Shake It Off,Taylor Swift,13325
https://music.163.com/song?id=29378212,Heroes (we could be),Alesso / Tove Lo,13325
https://music.163.com/song?id=31010788,Get Low,DJ Snake / Dillon Francis,13314
